Date,Order,Shares,Symbol
2008-01-09,BUY,100,IBM
2008-01-23,SELL,100,IBM
2008-01-25,BUY,100,IBM
2008-02-04,SELL,100,IBM
2008-02-05,BUY,100,IBM
2008-02-13,SELL,100,IBM
2008-02-14,BUY,100,IBM
2008-02-27,SELL,100,IBM
2008-02-28,SELL,100,IBM
2008-03-07,BUY,100,IBM
2008-03-10,BUY,100,IBM
2008-03-18,SELL,100,IBM
2008-03-19,SELL,100,IBM
2008-03-28,BUY,100,IBM
2008-03-31,BUY,100,IBM
2008-04-08,SELL,100,IBM
2008-04-09,BUY,100,IBM
2008-04-17,SELL,100,IBM
2008-04-18,SELL,100,IBM
2008-04-28,BUY,100,IBM
2008-04-30,BUY,100,IBM
2008-05-12,SELL,100,IBM
2008-05-13,SELL,100,IBM
2008-05-21,BUY,100,IBM
2008-05-22,BUY,100,IBM
2008-06-02,SELL,100,IBM
2008-06-03,SELL,100,IBM
2008-06-11,BUY,100,IBM
2008-06-13,SELL,100,IBM
2008-06-27,BUY,100,IBM
2008-06-30,BUY,100,IBM
2008-07-18,SELL,100,IBM
2008-07-21,SELL,100,IBM
2008-07-29,BUY,100,IBM
2008-07-31,BUY,100,IBM
2008-08-08,SELL,100,IBM
2008-08-11,SELL,100,IBM
2008-08-19,BUY,100,IBM
2008-08-21,BUY,100,IBM
2008-08-29,SELL,100,IBM
2008-09-02,SELL,100,IBM
2008-09-12,BUY,100,IBM
2008-09-17,BUY,100,IBM
2008-09-25,SELL,100,IBM
2008-09-26,SELL,100,IBM
2008-10-09,BUY,100,IBM
2008-10-10,BUY,100,IBM
2008-10-20,SELL,100,IBM
2008-10-21,SELL,100,IBM
2008-10-29,BUY,100,IBM
2008-10-30,SELL,100,IBM
2008-11-17,BUY,100,IBM
2008-11-19,BUY,100,IBM
2008-11-28,SELL,100,IBM
2008-12-01,BUY,100,IBM
2008-12-15,SELL,100,IBM
2008-12-16,SELL,100,IBM
2008-12-24,BUY,100,IBM
2008-12-26,BUY,100,IBM
2009-01-06,SELL,100,IBM
2009-01-07,SELL,100,IBM
2009-01-15,BUY,100,IBM
2009-01-16,BUY,100,IBM
2009-01-28,SELL,100,IBM
2009-01-30,BUY,100,IBM
2009-02-09,SELL,100,IBM
2009-02-10,SELL,100,IBM
2009-02-19,BUY,100,IBM
2009-02-20,BUY,100,IBM
2009-03-02,SELL,100,IBM
2009-03-05,BUY,100,IBM
2009-03-23,SELL,100,IBM
2009-03-24,SELL,100,IBM
2009-04-01,BUY,100,IBM
2009-04-03,SELL,100,IBM
2009-04-14,BUY,100,IBM
2009-04-15,BUY,100,IBM
2009-04-30,SELL,100,IBM
2009-05-01,SELL,100,IBM
2009-05-11,BUY,100,IBM
2009-05-12,BUY,100,IBM
2009-05-20,SELL,100,IBM
2009-05-21,BUY,100,IBM
2009-06-01,SELL,100,IBM
2009-06-02,BUY,100,IBM
2009-06-10,SELL,100,IBM
2009-06-11,SELL,100,IBM
2009-06-19,BUY,100,IBM
2009-06-22,BUY,100,IBM
2009-06-30,SELL,100,IBM
2009-07-01,SELL,100,IBM
2009-07-10,BUY,100,IBM
2009-07-13,BUY,100,IBM
2009-07-21,SELL,100,IBM
2009-07-22,BUY,100,IBM
2009-07-30,SELL,100,IBM
2009-07-31,BUY,100,IBM
2009-08-10,SELL,100,IBM
2009-08-14,BUY,100,IBM
2009-08-24,SELL,100,IBM
2009-08-25,SELL,100,IBM
2009-09-02,BUY,100,IBM
2009-09-03,BUY,100,IBM
2009-09-16,SELL,100,IBM
2009-09-21,SELL,100,IBM
2009-09-29,BUY,100,IBM
2009-09-30,BUY,100,IBM
2009-10-09,SELL,100,IBM
2009-10-12,SELL,100,IBM
2009-10-21,BUY,100,IBM
2009-10-30,BUY,100,IBM
2009-11-11,SELL,100,IBM
2009-11-12,BUY,100,IBM
2009-11-20,SELL,100,IBM
2009-11-27,BUY,100,IBM
2009-12-09,SELL,100,IBM
2009-12-10,SELL,100,IBM
2009-12-18,BUY,100,IBM
2009-12-21,BUY,100,IBM
